frame,x1,y1,x2,y2,confidence,class_id
0,156.81047,201.67574,368.0,622.93536,0.94316655,6.0
0,1.0512795,219.98979,164.74004,564.18335,0.9196542,6.0
0,39.243217,218.27295,113.176384,309.1705,0.9136125,2.0
0,206.7845,202.76488,273.70987,292.95618,0.90950716,2.0
1,160.51945,204.49622,367.28357,623.63605,0.943105,6.0
1,0.0,223.88669,162.86887,563.22424,0.9254548,6.0
1,44.011215,222.32013,142.60802,324.1268,0.92542547,2.0
1,189.83531,204.43956,277.11395,311.5758,0.6191667,2.0
2,167.73024,201.61829,367.04102,623.88354,0.93943715,6.0
2,1.898309,226.48232,176.76831,567.0171,0.893578,6.0
2,50.304268,224.94176,123.326256,303.99902,0.7146209,2.0
3,1.2070174,228.21284,183.61124,564.15607,0.94616705,6.0
3,169.36198,201.31671,367.1413,624.85974,0.9359735,6.0
3,67.85334,265.55838,193.32637,330.32877,0.46747905,1.0
3,45.271366,227.02464,119.74468,305.48944,0.29468107,2.0
4,169.40594,199.58908,368.0,626.71564,0.93923575,6.0
4,1.1849959,227.58897,172.36586,563.6698,0.89224476,6.0
4,70.48463,261.63052,175.13197,335.44516,0.838384,1.0
5,163.53127,197.97775,367.94748,626.82825,0.941311,6.0
5,0.0,227.65694,166.15498,565.44586,0.9300067,6.0
5,162.83942,198.37857,275.94284,308.15353,0.7557022,2.0
5,32.64695,224.71281,154.45456,314.5833,0.63871133,2.0
6,161.34111,197.37402,367.0612,625.8575,0.94252026,6.0
6,0.0,226.34735,163.8849,565.10016,0.9219614,6.0
6,169.78557,196.7706,276.289,310.84595,0.9131765,2.0
6,26.805021,223.41774,129.06271,316.89224,0.9098854,2.0
7,156.2275,196.67741,367.31525,624.7735,0.9444961,6.0
7,0.0,226.13103,163.19484,562.4936,0.9212018,6.0
7,23.252317,222.28398,111.88717,312.54636,0.90940356,2.0
7,167.88226,198.29926,268.46848,300.6364,0.71375835,2.0
8,142.93428,199.41087,368.0,627.2647,0.9532623,6.0
8,0.0,226.43729,163.89722,560.617,0.9211435,6.0
8,11.8487625,222.72354,108.529755,315.75336,0.91501606,2.0
8,189.2102,200.24261,258.3142,285.86188,0.43625045,2.0
9,122.36395,211.24219,368.0,627.34235,0.9326464,6.0
9,0.0,229.3067,163.15494,560.55426,0.92476326,6.0
9,11.777459,224.97974,103.64077,315.72095,0.8962347,2.0
10,0.0,232.86304,158.61407,562.3378,0.93160784,6.0
10,81.73321,245.30867,261.90134,292.69022,0.68982565,1.0
10,114.239685,210.77249,367.87927,628.7263,0.5441692,6.0
11,0.0,235.81587,160.48238,562.92694,0.9410503,6.0
11,100.77874,210.57274,367.68457,628.73505,0.83538395,6.0
11,88.77378,247.66768,260.18982,298.72025,0.82799256,1.0
12,0.0,239.3124,162.26353,564.008,0.94314414,6.0
12,121.049644,211.13448,368.0,629.1487,0.9329377,6.0
13,0.0,240.10184,161.53479,562.41583,0.94228655,6.0
13,139.82089,210.89587,368.0,628.16614,0.9410267,6.0
13,3.1317348,234.60165,95.336075,326.77002,0.8785721,2.0
13,185.72237,211.83278,255.01778,284.68106,0.6283036,2.0
14,158.72986,206.52895,368.0,626.22876,0.9414779,6.0
14,0.3302636,235.67877,161.51685,561.8939,0.940034,6.0
14,13.51515,230.67453,99.25849,327.7611,0.89852065,2.0
14,187.6538,205.1839,257.7238,290.86734,0.69085526,2.0
15,164.5359,201.60585,367.3718,626.4957,0.9418228,6.0
15,0.0,232.93645,159.70378,560.4812,0.93695974,6.0
15,19.003235,228.41672,101.028595,324.91586,0.9181114,2.0
16,167.39595,199.1257,367.19846,626.5311,0.9395926,6.0
16,0.0,229.3672,159.08507,560.4485,0.9314001,6.0
16,23.769936,226.81325,108.46289,314.7769,0.55773354,2.0
17,0.0,227.58656,155.7121,562.33496,0.939317,6.0
17,167.4648,198.98738,366.2415,625.4367,0.93280274,6.0
18,159.06807,200.83284,365.40475,626.05426,0.9255947,6.0
18,0.0,229.75813,175.74733,564.181,0.86447686,6.0
18,47.633774,277.8878,175.9404,341.15207,0.39307258,1.0
19,161.96548,199.66046,365.03775,626.1893,0.9261926,6.0
19,0.0,226.34741,164.20174,563.29767,0.91823,6.0
20,152.77628,196.4329,367.9041,624.9386,0.9450786,6.0
20,0.0,225.90817,160.295,563.6121,0.91840845,6.0
21,138.84178,195.23352,367.37805,630.08716,0.94711137,6.0
21,0.37045908,223.98103,158.80347,564.61725,0.91990155,6.0
22,128.49797,197.40921,368.0,631.65326,0.90603673,6.0
22,1.7717167,226.60515,203.1777,562.2223,0.89166903,6.0
22,109.062744,272.1462,225.8886,341.1326,0.4726783,1.0
22,17.594442,225.75328,87.91202,321.72684,0.45945475,2.0
23,85.7609,200.48311,368.0,632.8883,0.9337802,6.0
23,0.0,227.4435,161.13493,561.1402,0.9321515,6.0
23,17.459518,226.85199,85.22771,322.51282,0.6369895,2.0
24,90.65474,200.15935,368.0,632.4768,0.94216216,6.0
24,0.0,228.50359,163.05128,563.2551,0.927972,6.0
24,15.521295,227.39272,85.465126,322.2652,0.41325703,2.0
25,99.38281,199.74153,368.0,633.31586,0.92709255,6.0
25,0.532977,225.81793,165.12276,565.00446,0.9047928,6.0
25,8.644304,223.888,83.40728,317.44965,0.601697,2.0
26,106.934906,198.02853,368.0,632.8765,0.9345755,6.0
26,0.5156007,222.84187,158.37386,568.1942,0.925758,6.0
26,26.047012,222.38205,82.126915,313.76114,0.8430169,2.0
27,132.57642,193.95905,366.1583,630.8471,0.9408319,6.0
27,0.0,222.77284,155.19301,568.0695,0.93399143,6.0
27,13.633793,221.67206,121.89059,318.67157,0.8624996,2.0
27,176.79774,193.38362,248.2265,297.70364,0.55026096,2.0
28,143.4893,194.83412,368.0,626.16595,0.9425989,6.0
28,0.0,222.06302,159.54088,562.68646,0.92663807,6.0
28,16.996422,277.50443,143.65178,338.2369,0.89826477,1.0
29,149.24474,200.57565,368.0,629.1647,0.94207275,6.0
29,0.0,219.41493,164.58562,563.78564,0.91708213,6.0
30,158.95998,204.46382,368.0,627.8179,0.93597096,6.0
30,0.0,220.40543,162.49527,563.9438,0.9317844,6.0
30,34.65441,275.26752,164.70969,338.00003,0.4298528,1.0
31,0.064566895,221.5118,158.45287,565.9233,0.9334296,6.0
31,152.03052,201.00151,367.4348,627.5888,0.9276668,6.0
31,22.492722,221.76897,106.14097,309.9737,0.81545067,2.0
32,144.32997,197.34454,367.1152,631.0992,0.94618756,6.0
32,0.0,224.5037,157.1396,565.9502,0.9256219,6.0
32,16.559177,223.10202,127.39255,324.18207,0.82451963,2.0
33,152.35957,197.4064,368.0,624.51025,0.9468072,6.0
33,0.0,226.57692,161.0719,561.7717,0.9247647,6.0
33,13.96394,223.78549,97.64209,322.5688,0.9116996,2.0
34,129.88568,200.7086,368.0,628.001,0.9453469,6.0
34,0.0,228.05336,159.54564,559.87006,0.93323433,6.0
34,4.483906,224.09789,85.541405,315.39032,0.91382444,2.0
35,104.39802,205.5067,368.0,629.6327,0.9439973,6.0
35,0.0,229.84976,160.22208,560.8667,0.92837995,6.0
35,1.2223526,225.78027,78.7114,316.95178,0.85731894,2.0
36,0.0,233.2415,160.90654,562.2289,0.9271361,6.0
36,88.22474,207.43005,368.0,633.59015,0.89962626,6.0
36,84.99808,247.47249,210.57011,300.60684,0.5320809,1.0
37,0.0,239.4831,160.29076,560.2001,0.9365046,6.0
37,113.26865,209.09734,368.0,634.57056,0.8446064,6.0
37,52.91565,248.16135,240.20949,296.53705,0.74328655,1.0
38,0.0,244.4786,159.61261,560.67725,0.9318333,6.0
38,84.52723,210.11409,368.0,636.0162,0.8846096,6.0
38,72.25119,250.03748,234.30034,300.43378,0.84635097,1.0
39,0.0,245.88016,160.71686,561.21765,0.94029754,6.0
39,101.86812,208.96733,367.14966,634.76715,0.93739736,6.0
39,94.81487,258.3875,248.94096,312.71643,0.8711734,1.0
39,0.6260209,240.55164,84.48411,354.95923,0.4968836,2.0
40,0.0,244.8396,162.49207,561.4054,0.94171065,6.0
40,124.412766,212.42851,367.79153,636.5549,0.9033685,6.0
41,0.0,241.85918,163.10204,559.4265,0.9444548,6.0
41,144.39008,210.72537,368.0,636.0743,0.9373472,6.0
41,3.2504368,237.86678,92.388916,321.97797,0.7365531,2.0
42,155.1557,208.56429,368.0,633.9855,0.94437003,6.0
42,0.0,236.36713,165.49232,561.15045,0.9338793,6.0
42,10.784208,231.39085,97.41437,321.32257,0.8812623,2.0
43,161.42616,203.94902,367.79306,634.3266,0.9370977,6.0
43,0.0,229.99341,166.0406,561.9728,0.9081915,6.0
43,14.073135,226.87042,106.124626,317.54907,0.9008997,2.0
44,143.06924,205.11679,368.0,634.69476,0.93470025,6.0
44,23.273302,224.1244,114.39753,313.8714,0.88825905,2.0
44,0.0,225.65071,167.31358,562.4702,0.8356363,6.0
45,116.412605,206.63794,368.0,633.4894,0.93746126,6.0
45,0.0,223.9583,168.40562,562.43646,0.8634442,6.0
45,29.265915,223.15137,116.26635,317.3385,0.6850104,2.0
46,170.92801,207.73813,368.0,633.1471,0.8870056,6.0
46,0.0,226.63567,168.24142,561.3852,0.7913028,6.0
46,87.82761,244.59227,212.40099,309.3864,0.7463551,1.0
47,180.27727,208.44583,368.0,633.31824,0.9107616,6.0
47,0.0,221.0855,165.78511,563.29474,0.8889999,6.0
47,62.826664,252.62172,214.1054,298.16663,0.8076084,1.0
48,158.01704,204.66733,368.0,636.81366,0.847269,6.0
48,0.0,225.63412,166.58209,576.1597,0.8080211,6.0
48,57.860546,253.65941,211.67598,296.2798,0.6131546,1.0
49,0.0,225.89511,178.69527,579.48456,0.8958688,6.0
49,169.87302,209.3215,368.0,639.59344,0.7375599,6.0
49,101.96138,239.38881,215.76503,306.40448,0.5540543,1.0
50,0.0,233.42104,174.54848,588.20197,0.9337543,6.0
50,132.0692,210.39355,368.0,637.304,0.84883606,6.0
50,61.517113,230.92564,161.1793,331.8565,0.33748898,2.0
51,144.68407,201.92564,368.0,639.2819,0.9413991,6.0
51,0.0,243.19664,182.65625,603.2528,0.9076943,6.0
52,0.0,250.34352,212.10078,612.0605,0.9290473,6.0
52,135.74004,198.5595,368.0,634.7455,0.9079335,6.0
53,0.0,258.98923,207.5318,621.37103,0.93571985,6.0
53,154.4278,200.47574,368.0,631.99695,0.87663084,6.0
53,136.64432,265.63425,227.41525,335.5604,0.6562025,3.0
54,0.0,256.03577,185.80003,634.3793,0.9377017,6.0
54,84.46687,202.42322,368.0,636.67584,0.7664197,6.0
55,0.0,293.82245,187.0912,645.7705,0.9327191,6.0
55,0.0,255.46967,245.77263,313.83768,0.6538034,1.0
55,125.26866,210.18463,365.9295,640.44324,0.56623846,6.0
56,0.045165155,296.2467,191.04256,652.2758,0.9356827,6.0
56,118.5366,298.96954,189.46138,373.82007,0.8743613,2.0
56,0.0,254.03711,239.21227,303.87506,0.8496894,1.0
56,146.93443,215.81665,364.69662,640.6017,0.7658955,6.0
57,0.65152234,295.63754,195.82472,651.44116,0.93161756,6.0
57,23.557816,254.37605,237.87215,306.22174,0.8909839,1.0
57,119.06959,298.69894,195.7555,379.31702,0.88839835,2.0
57,137.6804,222.57903,352.84045,638.5471,0.57627743,6.0
58,2.2851238,299.05917,196.17874,651.5042,0.932971,6.0
58,117.74143,300.64807,194.33687,394.61273,0.91229594,2.0
58,56.520435,259.90723,245.35811,311.46194,0.9007983,1.0
58,166.69592,219.54536,353.657,612.2435,0.34576756,6.0
59,2.2405648,286.92642,194.43954,651.7572,0.9391536,6.0
59,103.65489,289.75018,189.83061,400.09415,0.8405983,2.0
59,82.84978,270.32028,247.6357,316.8819,0.79250246,1.0
60,2.206039,294.5937,192.50735,651.6098,0.94076705,6.0
60,105.01855,294.9658,184.59772,401.93176,0.8401536,2.0
60,167.22934,227.20796,347.10226,596.6582,0.3328562,6.0
61,2.3930652,291.60773,191.6152,650.99493,0.9398658,6.0
61,97.5972,291.1047,184.86862,401.70557,0.8177373,2.0
61,162.14035,242.73337,349.8438,588.251,0.5288597,6.0
62,0.0,285.4446,203.04521,648.9162,0.9411958,6.0
62,95.217125,284.23514,180.84195,390.85748,0.636819,2.0
62,166.93164,244.68312,350.93423,623.315,0.56383765,6.0
63,0.5657199,279.3644,190.08284,650.71857,0.9406511,6.0
63,81.24728,276.32904,174.10959,389.50735,0.89495903,2.0
63,173.75066,239.60182,350.70868,636.38995,0.8694251,6.0
64,2.295681,266.72327,188.38354,650.8714,0.9413078,6.0
64,185.9305,241.64832,354.5959,635.6042,0.9097521,6.0
64,83.67308,264.0472,171.20241,372.13605,0.75628495,2.0
65,3.6964538,254.69284,187.51372,650.7004,0.93899477,6.0
65,195.82741,243.05185,355.2793,632.8263,0.9303608,6.0
65,81.12933,250.52322,164.59195,355.77853,0.6853251,2.0
66,198.16666,240.16261,361.03555,628.8794,0.94156,6.0
66,5.547408,238.71436,184.35968,651.61346,0.9334862,6.0
66,79.17687,236.47043,165.06316,352.51224,0.83648956,2.0
67,5.4857697,227.18146,180.56273,648.6508,0.9364824,6.0
67,202.26291,232.58841,363.02737,628.2006,0.91840464,6.0
67,79.202126,224.3065,162.55894,338.59872,0.35318363,2.0
68,5.0958424,219.9248,178.03789,648.5132,0.93996584,6.0
68,220.04268,232.85703,365.3671,623.6588,0.93644196,6.0
68,80.36093,216.66095,169.50354,326.086,0.7861499,2.0
69,237.33702,227.7215,364.1064,620.1131,0.94336337,6.0
69,8.841301,211.30316,175.81294,650.3385,0.9352703,6.0
69,82.0132,210.33801,173.2365,322.33203,0.89181226,2.0
70,248.68306,218.91661,364.80124,621.5734,0.94429773,6.0
70,10.713096,204.51007,177.29909,651.9483,0.93154675,6.0
70,86.4434,206.06194,170.90063,316.82138,0.87297684,2.0
71,253.80841,219.64334,367.08038,616.4266,0.93883747,6.0
71,6.629002,203.01697,180.97911,650.3072,0.92971134,6.0
71,87.75291,205.44624,176.5475,323.449,0.9076877,2.0
71,245.83614,219.35382,362.2968,360.49994,0.8552474,2.0
72,252.81781,214.9237,365.78687,614.725,0.934591,6.0
72,2.0906217,206.82072,183.81604,641.9114,0.9342877,6.0
72,87.92203,209.0227,181.98236,330.86914,0.89862466,2.0
73,0.17144461,212.59679,190.18634,632.9191,0.94054705,6.0
73,250.31178,210.83572,366.3789,612.6452,0.9284875,6.0
73,89.53192,211.89915,187.7179,339.50302,0.9068788,2.0
74,0.1585023,221.21638,199.61601,637.57404,0.94494516,6.0
74,251.15347,208.1111,367.93353,607.0071,0.9279059,6.0
74,91.833015,218.9329,191.93517,345.1528,0.90511906,2.0
74,245.4444,211.70822,324.26773,305.46857,0.5519511,2.0
75,0.85686326,227.50818,212.7564,630.2222,0.9425053,6.0
75,246.48265,201.74866,367.41714,596.4095,0.83609146,6.0
76,1.8336835,229.09224,223.77548,623.2763,0.93287194,6.0
76,257.71884,206.05786,367.13043,537.04315,0.8842817,6.0
77,1.0249101,229.23111,229.45341,629.2624,0.9090302,6.0
77,274.81247,205.58276,365.6907,536.7956,0.8940381,6.0
78,278.05273,203.0937,365.56155,537.1391,0.89380234,6.0
78,1.4564404,225.61559,232.58028,633.1,0.84547913,6.0
79,274.90894,203.07037,365.22568,541.6674,0.88157827,6.0
79,2.1011474,222.27188,231.64249,637.2238,0.8606354,6.0
80,268.75333,205.84138,366.0605,540.2512,0.8742615,6.0
80,5.250337,214.25826,221.18108,639.2922,0.85026145,6.0
81,258.31393,208.34515,366.2674,539.1348,0.8967234,6.0
81,10.07348,208.42789,215.40562,638.7322,0.89607865,6.0
81,258.74725,208.61636,365.06476,318.88568,0.69357914,2.0
82,245.956,206.06827,367.03934,581.74896,0.91746587,6.0
82,36.240757,204.31596,210.85379,638.2496,0.90481746,6.0
82,247.04028,210.64319,365.23352,320.1324,0.8773305,2.0
83,234.3851,210.4231,367.49515,583.15063,0.9314208,6.0
83,9.073497,201.19171,224.40822,620.96924,0.9140742,6.0
83,234.85095,211.96329,362.25787,321.50098,0.76314306,2.0
84,223.71667,208.2687,367.79752,589.4505,0.93424433,6.0
84,10.78939,200.05753,242.99942,618.45447,0.9215197,6.0
84,223.91057,210.42566,367.261,323.25443,0.88673234,2.0
85,6.537163,201.34573,260.48553,621.3716,0.92426324,6.0
85,227.06111,210.91737,360.0965,318.46024,0.8927721,2.0
85,213.96466,208.76625,364.27646,586.97845,0.85749745,6.0
85,129.03178,352.12997,259.73578,546.97656,0.81623757,4.0
86,230.58614,211.23645,352.6503,320.75128,0.91475827,2.0
86,7.05057,206.80815,283.5186,627.05255,0.894608,6.0
86,215.05748,208.12088,356.51987,583.2407,0.8707072,6.0
86,131.67699,333.5958,288.51727,480.0732,0.8545722,4.0
87,8.399229,206.12988,343.4221,631.5763,0.9282285,6.0
87,209.94731,208.71501,344.80945,582.7834,0.8968629,6.0
87,109.22193,314.3094,345.5694,418.4268,0.8749695,4.0
87,224.03455,213.14194,345.2131,311.72104,0.80374837,2.0
88,211.19179,219.36029,332.6098,322.30228,0.9348422,2.0
88,4.3169813,201.56752,344.8068,635.15015,0.9316597,6.0
88,202.581,218.44601,331.92914,585.03735,0.92567873,6.0
88,107.13741,301.48706,337.05084,404.86685,0.88832974,4.0
89,92.573204,283.44452,332.10968,406.66248,0.8682266,4.0
89,200.64134,219.56114,329.40533,583.1454,0.8517399,6.0
89,2.7338428,202.91211,327.33362,638.5045,0.8071391,6.0
90,1.5328431,203.118,331.205,634.5856,0.91657835,6.0
90,212.04749,213.88023,329.30927,584.8843,0.8792555,6.0
90,209.8989,222.29059,314.99988,311.4984,0.8607048,2.0
90,98.06666,280.80002,332.84576,411.37122,0.84312123,4.0
90,104.22743,325.99744,258.9017,408.77313,0.39347038,4.0
91,3.6728683,202.55116,340.38525,632.6567,0.9376481,6.0
91,207.31657,222.1963,323.95517,331.6166,0.73442817,2.0
91,211.02759,215.17766,334.19373,584.09863,0.72288513,6.0
91,92.88111,298.48907,341.29904,418.43253,0.6906969,4.0
92,7.820915,203.59238,347.22794,632.5609,0.92858636,6.0
92,209.07246,224.9619,328.7075,341.29913,0.8539655,2.0
92,197.78098,218.16885,341.00964,583.6448,0.6896891,6.0
92,108.81888,327.15964,347.75107,417.2589,0.64980304,4.0
93,6.612846,209.58464,367.18094,613.48114,0.8933794,6.0
93,210.38623,226.52612,334.32315,352.57767,0.804527,5.0
93,126.3682,341.65866,352.37357,421.92377,0.5271814,4.0
93,195.29076,218.2655,359.79556,580.5057,0.4995846,6.0
94,9.833159,203.697,367.80182,622.7626,0.90830123,6.0
94,211.45625,218.44336,339.71246,570.23145,0.582218,6.0
94,149.13866,348.6122,358.08752,465.5707,0.5434186,4.0
94,210.46828,220.47206,336.312,354.41122,0.3719004,5.0
95,20.090792,203.83357,342.51627,633.28796,0.9188603,6.0
95,208.68951,218.29335,342.4773,571.2351,0.89282405,6.0
95,123.10859,356.37418,362.56754,511.30157,0.74811876,4.0
96,209.98225,222.67313,339.56836,573.44525,0.9382913,6.0
96,27.459684,209.73268,302.9591,634.8884,0.9234552,6.0
96,155.70358,369.3229,291.08572,571.3287,0.7854108,4.0
96,212.84448,225.8573,342.18542,332.12943,0.71534,5.0
97,210.94344,224.18686,336.97934,595.9769,0.93046725,6.0
97,39.10352,212.6479,276.04178,636.2201,0.89549774,6.0
97,212.52364,227.62218,342.43463,345.00696,0.84812325,5.0
97,154.4286,382.7062,290.19232,583.6967,0.41228047,4.0
98,215.76964,225.76503,338.13647,579.1113,0.9392716,6.0
98,48.47593,211.2642,243.78694,640.1909,0.9048028,6.0
99,220.79399,225.65964,338.7597,570.37976,0.9392435,6.0
99,45.77578,216.7388,232.85735,638.9018,0.91687673,6.0
100,52.60355,222.2756,229.48512,639.3348,0.9228269,6.0
100,222.95642,221.56885,337.1259,581.1603,0.9175346,6.0
101,61.884457,218.51855,236.72472,641.0461,0.8940316,6.0
101,226.47429,224.79086,344.95752,567.69775,0.87127197,6.0
